iter	Passed	Remaining
0	0	420
1	0	355
2	0	323
3	1	304
4	1	293
5	1	279
6	9	1338
7	9	1222
8	10	1118
9	10	1037
10	10	965
11	11	906
12	11	853
13	11	810
14	12	794
15	12	774
16	12	744
17	13	716
18	13	691
19	13	668
20	13	646
21	14	626
22	14	609
23	14	592
24	14	578
25	15	564
26	15	552
27	15	541
28	15	532
29	16	522
30	16	512
31	16	502
32	16	493
33	17	485
34	17	476
35	18	488
36	18	483
37	18	477
38	19	470
39	19	464
40	19	458
41	19	453
42	20	448
43	20	444
44	20	439
45	21	435
46	21	432
47	21	427
48	21	423
49	22	418
50	22	414
51	22	410
52	22	406
53	23	403
54	23	400
55	23	397
56	23	393
57	24	391
58	24	388
59	24	384
60	24	381
61	25	379
62	25	376
63	25	374
64	25	372
65	26	370
66	26	367
67	26	365
68	26	363
69	27	361
70	27	358
71	27	356
72	27	354
73	28	351
74	28	349
75	28	351
76	29	349
77	29	348
78	29	346
79	29	344
80	30	341
81	30	340
82	30	337
83	30	336
84	31	335
85	31	333
86	31	334
87	32	332
88	32	331
89	32	330
90	33	330
91	33	329
92	33	328
93	33	327
94	34	326
95	34	325
96	43	402
97	44	405
98	44	408
99	45	407
100	45	405
101	45	403
102	46	402
103	46	400
104	46	398
105	47	396
106	47	395
107	47	393
108	47	391
109	48	389
110	48	389
111	49	390
112	49	391
113	61	478
114	75	581
115	78	596
116	78	593
117	78	589
118	79	586
119	79	582
120	79	579
121	79	575
122	80	572
123	80	569
124	81	567
125	81	564
126	81	560
127	81	557
128	82	554
129	82	552
130	82	549
131	83	547
132	83	544
133	83	541
134	84	539
135	84	536
136	84	533
137	85	531
138	85	529
139	85	527
140	86	524
141	86	521
142	86	519
143	87	517
144	87	515
145	87	513
146	88	513
147	88	510
148	88	508
149	89	505
150	89	503
151	89	501
152	90	499
153	90	496
154	90	494
155	90	491
156	91	489
157	91	487
158	91	484
159	91	482
160	92	480
161	92	478
162	92	476
163	93	474
164	93	472
165	93	470
166	93	467
167	94	465
168	94	463
169	94	461
170	95	461
171	95	460
172	95	458
173	96	456
174	96	454
175	96	452
176	96	450
177	97	450
178	97	448
179	98	446
180	99	449
181	99	447
182	100	446
183	100	446
184	100	444
185	101	442
186	101	441
187	101	439
188	102	438
189	102	436
190	102	435
191	103	434
192	103	432
193	103	431
194	104	430
195	104	428
196	104	426
197	104	425
198	105	423
199	105	421
200	105	420
201	105	418
202	106	416
203	106	415
204	106	413
205	106	412
206	107	410
207	107	409
208	107	408
209	108	406
210	108	405
211	108	404
212	108	402
213	109	401
214	109	399
215	109	397
216	109	396
217	110	394
218	110	393
219	110	392
220	110	390
221	111	389
222	111	388
223	111	386
224	111	385
225	112	383
226	112	382
227	112	381
228	112	379
229	113	378
230	113	377
231	113	376
232	113	375
233	114	373
234	114	373
235	114	371
236	115	370
237	115	369
238	115	368
239	115	366
240	116	365
241	116	364
242	116	364
243	117	362
244	117	361
245	117	360
246	118	359
247	118	359
248	118	357
249	118	356
250	119	355
251	119	354
252	119	353
253	119	351
254	120	350
255	120	349
256	120	349
257	121	348
258	121	346
259	121	345
260	121	344
261	122	343
262	122	342
263	122	341
264	122	340
265	123	339
266	123	338
267	123	337
268	123	336
269	124	335
270	124	334
271	124	333
272	124	332
273	125	331
274	125	330
275	125	329
276	125	328
277	126	327
278	126	326
279	126	326
280	127	325
281	127	324
282	127	323
283	127	322
284	127	321
285	128	320
286	128	319
287	128	318
288	128	317
289	129	316
290	129	315
291	129	314
292	129	313
293	130	312
294	130	311
295	130	310
296	130	309
297	131	308
298	131	308
299	131	307
300	131	306
301	132	305
302	132	304
303	132	303
304	132	303
305	133	302
306	133	301
307	133	300
308	133	299
309	134	298
310	134	297
311	134	297
312	134	296
313	135	295
314	135	294
315	135	293
316	136	293
317	136	292
318	136	291
319	136	290
320	137	289
321	137	289
322	137	288
323	137	287
324	138	287
325	138	286
326	138	285
327	138	284
328	139	283
329	139	283
330	139	282
331	139	281
332	140	280
333	140	279
334	140	279
335	140	278
336	141	277
337	141	276
338	141	276
339	141	275
340	142	274
341	142	274
342	142	273
343	143	272
344	143	272
345	143	271
346	144	271
347	144	270
348	144	269
349	144	269
350	145	268
351	145	267
352	145	267
353	145	266
354	146	265
355	146	265
356	146	264
357	147	263
358	147	263
359	147	262
360	147	261
361	148	261
362	148	260
363	148	260
364	149	259
365	149	258
366	149	258
367	149	257
368	150	256
369	150	256
370	150	255
371	151	255
372	151	254
373	151	253
374	151	253
375	152	252
376	152	251
377	152	251
378	152	250
379	153	249
380	153	249
381	153	248
382	154	248
383	154	247
384	154	247
385	155	246
386	155	246
387	155	245
388	156	245
389	156	244
390	156	243
391	156	243
392	157	242
393	157	242
394	157	241
395	158	241
396	158	240
397	158	240
398	159	239
399	159	238
400	159	238
401	159	237
402	160	237
403	160	236
404	160	236
405	160	235
406	161	234
407	161	234
408	161	233
409	161	232
410	162	232
411	162	231
412	162	231
413	162	230
414	163	229
415	163	229
416	163	228
417	163	228
418	164	227
419	164	226
420	164	226
421	164	225
422	165	225
423	165	224
424	165	223
425	165	223
426	166	222
427	166	222
428	166	221
429	166	221
430	166	220
431	167	219
432	167	219
433	167	218
434	167	218
435	168	217
436	168	216
437	168	216
438	168	215
439	169	215
440	169	214
441	169	214
442	169	213
443	170	213
444	170	212
445	170	212
446	171	211
447	171	211
448	171	210
449	171	210
450	172	209
451	172	209
452	172	208
453	173	208
454	173	207
455	179	214
456	180	214
457	180	213
458	180	213
459	181	212
460	181	212
461	181	211
462	182	211
463	182	210
464	182	210
465	183	210
466	183	209
467	184	209
468	184	209
469	185	208
470	185	208
471	185	207
472	186	207
473	186	206
474	186	206
475	186	205
476	187	205
477	187	204
478	187	204
479	188	203
480	188	203
481	188	202
482	188	202
483	189	201
484	189	201
485	189	200
486	190	200
487	190	199
488	190	199
489	190	198
490	191	198
491	191	197
492	191	197
493	191	196
494	192	196
495	192	195
496	192	195
497	192	194
498	193	193
499	193	193
500	193	192
501	193	192
502	194	191
503	194	191
504	194	190
505	194	190
506	195	189
507	195	189
508	195	188
509	195	188
510	196	187
511	196	187
512	196	186
513	196	186
514	197	185
515	197	185
516	197	184
517	197	184
518	198	183
519	198	183
520	198	182
521	199	182
522	199	181
523	199	181
524	199	180
525	199	180
526	200	179
527	200	179
528	200	178
529	200	178
530	201	177
531	201	177
532	201	176
533	201	176
534	202	175
535	202	175
536	202	174
537	202	174
538	203	173
539	203	173
540	203	172
541	204	172
542	204	172
543	204	171
544	204	171
545	205	170
546	205	170
547	205	169
548	206	169
549	207	169
550	207	169
551	208	168
552	208	168
553	208	168
554	208	167
555	209	167
556	209	166
557	209	166
558	210	165
559	210	165
560	210	164
561	210	164
562	211	163
563	212	164
564	212	163
565	212	163
566	213	162
567	213	162
568	214	162
569	214	161
570	214	161
571	215	161
572	215	160
573	215	160
574	216	159
575	216	159
576	216	158
577	216	158
578	217	157
579	217	157
580	217	157
581	218	156
582	218	156
583	219	156
584	219	155
585	219	155
586	219	154
587	220	154
588	220	153
589	220	153
590	220	152
591	221	152
592	221	151
593	221	151
594	221	151
595	222	150
596	222	150
597	222	149
598	222	149
599	223	148
600	223	148
601	223	147
602	224	147
603	224	147
604	224	146
605	224	146
606	224	145
607	225	145
608	225	144
609	225	144
610	225	143
611	226	143
612	226	142
613	226	142
614	226	142
615	227	141
616	227	141
617	227	140
618	227	140
619	228	139
620	228	139
621	228	139
622	229	138
623	229	138
624	229	137
625	229	137
626	230	136
627	230	136
628	230	136
629	230	135
630	231	135
631	231	134
632	231	134
633	231	133
634	232	133
635	232	133
636	232	132
637	232	132
638	233	131
639	233	131
640	233	130
641	233	130
642	234	129
643	234	129
644	234	129
645	234	128
646	234	128
647	235	127
648	235	127
649	235	126
650	235	126
651	236	126
652	236	125
653	236	125
654	236	124
655	236	124
656	237	123
657	237	123
658	237	123
659	237	122
660	238	122
661	238	121
662	238	121
663	238	120
664	239	120
665	239	120
666	240	119
667	240	119
668	240	119
669	240	118
670	241	118
671	241	117
672	241	117
673	241	116
674	242	116
675	242	116
676	242	115
677	242	115
678	243	114
679	243	114
680	243	114
681	243	113
682	244	113
683	244	112
684	244	112
685	244	112
686	245	111
687	245	111
688	245	110
689	246	110
690	246	110
691	246	109
692	246	109
693	246	108
694	247	108
695	247	108
696	247	107
697	247	107
698	248	106
699	248	106
700	248	106
701	248	105
702	249	105
703	249	104
704	249	104
705	249	104
706	250	103
707	250	103
708	250	102
709	251	102
710	251	102
711	251	101
712	251	101
713	251	100
714	252	100
715	252	100
716	252	99
717	252	99
718	253	98
719	253	98
720	253	98
721	253	97
722	254	97
723	254	96
724	254	96
725	254	96
726	255	95
727	255	95
728	255	95
729	255	94
730	256	94
731	256	93
732	256	93
733	256	93
734	257	92
735	257	92
736	257	91
737	257	91
738	258	91
739	258	90
740	258	90
741	258	90
742	259	89
743	259	89
744	259	88
745	260	88
746	260	88
747	260	87
748	262	88
749	262	87
750	263	87
751	263	86
752	263	86
753	264	86
754	264	85
755	264	85
756	264	84
757	264	84
758	265	84
759	265	83
760	265	83
761	266	83
762	266	82
763	266	82
764	266	81
765	267	81
766	267	81
767	267	80
768	268	80
769	268	80
770	269	79
771	269	79
772	269	79
773	269	78
774	270	78
775	270	78
776	270	77
777	271	77
778	271	76
779	271	76
780	272	76
781	272	75
782	272	75
783	272	75
784	273	74
785	273	74
786	273	74
787	273	73
788	274	73
789	274	72
790	274	72
791	274	72
792	275	71
793	275	71
794	275	71
795	275	70
796	276	70
797	276	69
798	276	69
799	276	69
800	277	68
801	277	68
802	277	68
803	277	67
804	278	67
805	278	67
806	278	66
807	278	66
808	279	65
809	279	65
810	279	65
811	279	64
812	280	64
813	280	64
814	280	63
815	280	63
816	280	62
817	281	62
818	281	62
819	281	61
820	281	61
821	282	61
822	282	60
823	282	60
824	282	60
825	283	59
826	283	59
827	283	58
828	283	58
829	284	58
830	284	57
831	284	57
832	284	57
833	285	56
834	285	56
835	285	56
836	285	55
837	286	55
838	286	54
839	286	54
840	286	54
841	287	53
842	287	53
843	287	53
844	287	52
845	288	52
846	288	52
847	288	51
848	290	51
849	290	51
850	290	50
851	290	50
852	291	50
853	291	49
854	291	49
855	292	49
856	292	48
857	292	48
858	292	48
859	292	47
860	293	47
861	293	46
862	293	46
863	293	46
864	294	45
865	294	45
866	294	45
867	294	44
868	295	44
869	295	44
870	295	43
871	295	43
872	296	43
873	296	42
874	296	42
875	296	42
876	297	41
877	297	41
878	297	40
879	297	40
880	298	40
881	298	39
882	298	39
883	298	39
884	299	38
885	299	38
886	299	38
887	299	37
888	299	37
889	300	37
890	300	36
891	300	36
892	301	36
893	301	35
894	301	35
895	301	35
896	302	34
897	302	34
898	302	33
899	302	33
900	302	33
901	303	32
902	303	32
903	303	32
904	303	31
905	304	31
906	304	31
907	304	30
908	304	30
909	305	30
910	305	29
911	305	29
912	305	29
913	306	28
914	306	28
915	306	28
916	306	27
917	307	27
918	307	27
919	307	26
920	307	26
921	307	26
922	308	25
923	308	25
924	308	25
925	308	24
926	309	24
927	309	23
928	309	23
929	309	23
930	310	22
931	310	22
932	310	22
933	310	21
934	311	21
935	311	21
936	311	20
937	311	20
938	311	20
939	312	19
940	312	19
941	312	19
942	312	18
943	313	18
944	313	18
945	313	17
946	313	17
947	313	17
948	314	16
949	314	16
950	314	16
951	315	15
952	315	15
953	315	15
954	315	14
955	316	14
956	316	14
957	316	13
958	317	13
959	317	13
960	317	12
961	317	12
962	318	12
963	318	11
964	318	11
965	318	11
966	319	10
967	319	10
968	319	10
969	320	9
970	320	9
971	320	9
972	320	8
973	321	8
974	321	8
975	321	7
976	321	7
977	321	7
978	322	6
979	322	6
980	322	6
981	322	5
982	323	5
983	323	5
984	323	4
985	323	4
986	324	4
987	324	3
988	324	3
989	324	3
990	324	2
991	325	2
992	325	2
993	325	1
994	325	1
995	326	1
996	326	0
997	326	0
998	326	0
999	327	0
